x,y,z
2.61975860595703,-1.27930557727814,0.000400066375732
7.2,-2.4,0.001213073730469
9.62330436706543,-0.2952800989151,0.001689910888672
10.5,2,0.000481605529785
10.7763557434082,5.02323055267334,0.00101375579834
8.83148956298828,5.97,0.002063751220703
-7.12,13.8085708618164,-4.76837158203125E-05
-9.46273803710938,13.7,0.003320693969727
-11.1309118270874,11.9113941192627,0.001764297485352
-13.0979433059692,8.64246845245361,0.00029182434082
-12.8000888824463,6.11400413513184,-0.00139045715332
-10.6699829101563,5.16349267959595,-0.000755310058594
